input1	label
w p l	wpl
v w n	vwn
q n z	qnz
n f s b	nfsb
f r p b	frpb
z g m v	zgmv
k t l	ktl
s w d	swd
b s g	bsg
x j z q	xjzq
b k v f	bkvf
n m z	nmz
f m b g	fmbg
z m n	zmn
h s w b	hswb
n c g	ncg
z t v s	ztvs
s q x l	sqxl
s m w	smw
k j g p t	kjgpt
r s b f	rsbf
b g j	bgj
d t f j r w	dtfjrw
c b p l	cbpl
f q j	fqj
l x m	lxm
z s d	zsd
f g z w s	fgzws
g c f v z r w d b p t	gcfvzrwdbpt
p f t s	pfts
j s n r	jsnr
p c l k	pclk
w g t	wgt
r v c g	rvcg
l c x b t	lcxbt
f h c d v	fhcdv
p x k n	pxkn
r w t	rwt
q m d	qmd
h s b	hsb
l m t q j	lmtqj
v r n	vrn
r x q n	rxqn
s d g	sdg
b c j m	bcjm
h w p l x m r	hwplxmr
x p l c	xplc
h s t c z m j v	hstczmjv
z d l	zdl
v b n	vbn
h l p g	hlpg
m s q	msq
d w p b	dwpb
d g z	dgz
z f g x	zfgx
z g n t c l	zgntcl
s d t h f	sdthf
k r f q	krfq
t d l m g	tdlmg
t m b	tmb
r x l v	rxlv
m c g w n d s p	mcgwndsp
t b x r	tbxr
s b l m t	sblmt
c q n r w	cqnrw
m q n	mqn
f v j l	fvjl
n c k s z g p	nckszgp
n p f m	npfm
m v x b	mvxb
b f v x m	bfvxm
p l n b	plnb
q c w s	qcws
s z g	szg
j l w d f g	jlwdfg
m k n	mkn
h v g p	hvgp
s r j t	srjt
x c p g	xcpg
r f s d	rfsd
k h g f v	khgfv
w t g l	wtgl
g q f	gqf
g h w r	ghwr
m q f v x	mqfvx
x w p	xwp
k v b x z m	kvbxzm
m j d b k	mjdbk
k q t x	kqtx
w x n v	wxnv
l s j q	lsjq
l n d h	lndh
b c q h	bcqh
r k w x l n v b	rkwxlnvb
k s p g n	kspgn
m p v	mpv
w x j d	wxjd
d c n k	dcnk
x t b s	xtbs
v t n p w z	vtnpwz
w l c q j k r	wlcqjkr
b l x v p s	blxvps
v s q r	vsqr
p l h	plh
w h l f	whlf
q d l	qdl
z q b f r k	zqbfrk
w v f l h n	wvflhn
b f n q	bfnq
w n f k g d	wnfkgd
w h r g x c z b l	whrgxczbl
l z v t d k b n w	lzvtdkbnw
g j s k p t q	gjskptq
f q p m s h l	fqpmshl
p s f z q	psfzq
d h p m	dhpm
d v b t s c l p	dvbtsclp
r d z m	rdzm
c d j	cdj
r s q g	rsqg
d g f z n	dgfzn
r d j q	rdjq
h f v r t	hfvrt
q d g r	qdgr
b v n m z s	bvnmzs
x s f n c g	xsfncg
q z j b m	qzjbm
j c n r	jcnr
p l q d w x	plqdwx
s q p n m r z	sqpnmrz
p n r s	pnrs
j h r k l	jhrkl
w p d	wpd
p b h g r q	pbhgrq
v s c f t	vscft
f m q h w	fmqhw
c p x z	cpxz
j h b k q c z	jhbkqcz
s v g n	svgn
d h x z g	dhxzg
n f z q p r w	nfzqprw
s v j w	svjw
t d f z l	tdfzl
d t w	dtw
k x w h	kxwh
f t r n	ftrn
g s l x	gslx
t n m b	tnmb
j c s p	jcsp
n z k	nzk
q x k g f	qxkgf
p m w t n j c	pmwtnjc
x q c f k g h n	xqcfkghn
h q m n r b j v g f	hqmnrbjvgf
v z k b x m d	vzkbxmd
h n q v	hnqv
l g d r	lgdr
v w d	vwd
k s x w d c v	ksxwdcv
f d t n j s w	fdtnjsw
x n g f	xngf
p h b w	phbw
c b p m q	cbpmq
h q k	hqk
b q g c	bqgc
h r w p v g x f m j	hrwpvgxfmj
x l w z	xlwz
j s c r l	jscrl
c j n s m	cjnsm
r p h l x n	rphlxn
h v t x g	hvtxg
b t l m	btlm
c r d n	crdn
d q s p j n g t f v r c l	dqspjngtfvrcl
z s b m h v	zsbmhv
b t d k	btdk
l g r s	lgrs
g k r z x	gkrzx
t n x k w q	tnxkwq
v r j l n h t k	vrjlnhtk
d h v x	dhvx
l p v h k z m x f w s	lpvhkzmxfws
p g h s z t	pghszt
w l c	wlc
j v z q t h	jvzqth
r b p f n v t	rbpfnvt
g n h k	gnhk
z h m t k	zhmtk
j d f m c r	jdfmcr
p j g n d r	pjgndr
m k p	mkp
l f w t	lfwt
f x r j n	fxrjn
j z s k	jzsk
n b j r v q z	nbjrvqz
c q d k b	cqdkb
r x d q w	rxdqw
q c k s z	qcksz
g v z j q p f	gvzjqpf
w r q v f n	wrqvfn
d k r v h q z f t	dkrvhqzft
c v x b s q m n	cvxbsqmn
w g b	wgb
n w l g m c	nwlgmc
j b h z	jbhz
t r c n d m	trcndm
x m l q r d j b	xmlqrdjb
l d j z x f b	ldjzxfb
b s l r p x f j g	bslrpxfjg
q r n c b x	qrncbx
p w d z t v	pwdztv
m h l f	mhlf
p w c d	pwcd
k q z x s	kqzxs
b j c	bjc
j d c m s g p n	jdcmsgpn
f h q l t c w r	fhqltcwr
w d l v s c q	wdlvscq
q h j k r s v	qhjkrsv
w b t v z	wbtvz
d n k x v z	dnkxvz
x m t l	xmtl
h w f x r	hwfxr
l d t z	ldtz
t x n g	txng
k b w t	kbwt
g f b j r	gfbjr
c q b d l	cqbdl
x q r m n b z	xqrmnbz
b v w p c d	bvwpcd
q x l h z c d	qxlhzcd
v t g s p	vtgsp
t c k x s	tckxs
c x f k w	cxfkw
p t n m	ptnm
d p t m	dptm
m k z b	mkzb
b g p q	bgpq
d k q w	dkqw
r h l p j	rhlpj
d r k c g b m h x j	drkcgbmhxj
d j x t c	djxtc
p s h j	pshj
h k f g c j l	hkfgcjl
p w t m	pwtm
p r b s n	prbsn
d t g w k m v	dtgwkmv
w l h r q n k	wlhrqnk
t b d	tbd
w v k q l	wvkql
s x r m d l	sxrmdl
g f m v l	gfmvl
b d z w q k m	bdzwqkm
t p q m w x k z	tpqmwxkz
l c q m	lcqm
l k z w c v	lkzwcv
x s z c t f w q	xszctfwq
b t x k h	btxkh
q h m z	qhmz
l x c k z h w	lxckzhw
b s g h j	bsghj
h k c b q	hkcbq
v m l s	vmls
k b d s f g n	kbdsfgn
r x h b	rxhb
w k r f q c d s	wkrfqcds
q d b g l k m	qdbglkm
l n w z c	lnwzc
r s p l h	rsplh
r t n h p	rtnhp
c d h	cdh
t g w s r l h d c	tgwsrlhdc
d c w z b j m t	dcwzbjmt
v s l	vsl
m w t d f p h	mwtdfph
s b r	sbr
f v l q n d	fvlqnd
d w b c q	dwbcq
c z x j b	czxjb
d v w l j f b q c	dvwljfbqc
c j r x z h g	cjrxzhg
h r q w d	hrqwd
c x d	cxd
w c q d k	wcqdk
b k d	bkd
l z f q k b w	lzfqkbw
w d p m b	wdpmb
j q r k g t v	jqrkgtv
s q p r f g h v	sqprfghv
v w j x	vwjx
j v w	jvw
x s t m r k d n	xstmrkdn
z v j t l	zvjtl
z b w f l s r g d	zbwflsrgd
p w z f h	pwzfh
z h c m	zhcm
b v p c n w t l k	bvpcnwtlk
r q z v l	rqzvl
g t c b n z k d	gtcbnzkd
n m p l x q	nmplxq
w g r q k	wgrqk
f r c d	frcd
p x w h s	pxwhs
s p m q c z	spmqcz
g c j d	gcjd
k q v r n z w c b l	kqvrnzwcbl
p t c b k x r s	ptcbkxrs
w m n j z c	wmnjzc
w v k	wvk
n p x f q s	npxfqs
d x k f g n b h	dxkfgnbh
f t c w s k d p	ftcwskdp
f r v b z k j	frvbzkj
r x t v j	rxtvj
c m x s z	cmxsz
d c k p g	dckpg
h w t d q z g	hwtdqzg
c h l w s b n	chlwsbn
w b j k h d m n	wbjkhdmn
f t k v	ftkv
m w v t c f	mwvtcf
m r c n	mrcn
z q h	zqh
s z v w	szvw
x p m s	xpms
t v j f	tvjf
n q r f x	nqrfx
l q m g d	lqmgd
l w m v f h j t c r	lwmvfhjtcr
f d j m v	fdjmv
n t j d v c x h l r q	ntjdvcxhlrq
x p j	xpj
q j n g v b w c z	qjngvbwcz
w q f z r t p	wqfzrtp
v j r	vjr
r p t z w	rptzw
n f v z x j s c	nfvzxjsc
j c b v z	jcbvz
w h k x j	whkxj
w k n v j	wknvj
b k d s v c g	bkdsvcg
j p l m x	jplmx
s t g b c l z	stgbclz
r d j l x g t	rdjlxgt
d q f g s r j	dqfgsrj
g d k p s t v	gdkpstv
j z p w v k	jzpwvk
d p g w l	dpgwl
z t d r	ztdr
r b h q s	rbhqs
t f x	tfx
t d q m w	tdqmw
g x b z p t h l	gxbzpthl
m f v x h j s z	mfvxhjsz
m b q p t g l	mbqptgl
x k b j h f	xkbjhf
r v p d h z k	rvpdhzk
m w h j p f q	mwhjpfq
v z q j h	vzqjh
n r v q s f k	nrvqsfk
k f l q	kflq
b l z	blz
z c h w	zchw
g p v z	gpvz
c w l b g r z	cwlbgrz
k m p q	kmpq
z v g h l f	zvghlf
v b m g d z	vbmgdz
l q j h m b k z t	lqjhmbkzt
p n b v g	pnbvg
r m z h w	rmzhw
h b z s	hbzs
q j f z w x	qjfzwx
m g r l d	mgrld
w g s p k t	wgspkt
g d q	gdq
k v n w s l	kvnwsl
z v d g p n w	zvdgpnw
r n s d	rnsd
j d k r	jdkr
q h t f x	qhtfx
t j w m b f p n	tjwmbfpn
t s l	tsl
q b v s m g	qbvsmg
b w d f p	bwdfp
z q x d	zqxd
f p j l t q g	fpjltqg
f r n	frn
r g m l b t h d s j	rgmlbthdsj
d t b q r l n x	dtbqrlnx
p s t f	pstf
k s q v l	ksqvl
k j r f	kjrf
m g c j w f n	mgcjwfn
h r c t	hrct
r m g x	rmgx
h b q t d l	hbqtdl
b n z	bnz
l s d n f x r q v t	lsdnfxrqvt
m r h s p t	mrhspt
m p f s h c k	mpfshck
n j p z l d	njpzld
d t s	dts
b z m n l w	bzmnlw
j k q t	jkqt
z l w p t n f q	zlwptnfq
b m v h	bmvh
f p r c	fprc
k l j v w	kljvw
d j s n f p m	djsnfpm
q h d r p	qhdrp
f k j v n q g p	fkjvnqgp
v l c k r f h	vlckrfh
q j n z	qjnz
c m t d z f p	cmtdzfp
p c j q x r f t	pcjqxrft
n d h g l k	ndhglk
c w k x g v t	cwkxgvt
k v f q s t	kvfqst
d s z j w k	dszjwk
t p r w z	tprwz
s c j g l w	scjglw
l k s h j	lkshj
h q k n d m s c	hqkndmsc
r z n	rzn
k t q d v w r f	ktqdvwrf
z w b v	zwbv
n h q v z	nhqvz
b r w m k x t q	brwmkxtq
g p z	gpz
t k c x q w n z	tkcxqwnz
m k v b t g	mkvbtg
n h k	nhk
l g t h s d f n z q k	lgthsdfnzqk
g c x r	gcxr
z t d m k	ztdmk
z c n j w p	zcnjwp
v r x s p	vrxsp
c d m t r v f g p	cdmtrvfgp
b c x v q n	bcxvqn
x k p	xkp
x j d l p h n m b	xjdlphnmb
q k s p	qksp
n b g l x	nbglx
q b t v k	qbtvk
z b t s h w v	zbtshwv
c f k t	cfkt
m w h p c n	mwhpcn
p q f m	pqfm
c v n	cvn
f p t m z b	fptmzb
m s d l z	msdlz
q f p w v h d c b s l	qfpwvhdcbsl
w x j l	wxjl
g p d l w	gpdlw
q m n p w h k t	qmnpwhkt
l h m	lhm
q m z g c p l n	qmzgcpln
v n t m g	vntmg
w d l k	wdlk
s d n q k p w	sdnqkpw
k q f b d r	kqfbdr
b q z s k	bqzsk
r g t h b	rgthb
v z m k s	vzmks
s b h w k t j m	sbhwktjm
p k s j q b	pksjqb
w k b q s	wkbqs
q z l w f b m	qzlwfbm
k t n r v g m c z	ktnrvgmcz
z h k r j w	zhkrjw
k l w r b m t	klwrbmt
d j s v f c g	djsvfcg
z j m d f k n c	zjmdfknc
l r c	lrc
b t v m p d	btvmpd
j v r c l	jvrcl
v k c w n b	vkcwnb
x v g d	xvgd
h c z	hcz
b x z p	bxzp
x q k p w	xqkpw
j r w n z f q	jrwnzfq
j m r h z n c k b	jmrhznckb
q b j z t	qbjzt
m c z f h j k	mczfhjk
c r j	crj
s m v g n k q t	smvgnkqt
g r p b d v	grpbdv
g z c h s	gzchs
t k n v p	tknvp
b w l f m c	bwlfmc
c t m h	ctmh
n m p v r f	nmpvrf
s z x k	szxk
d x k	dxk
b f j d l w v	bfjdlwv
n s w	nsw
q x k g	qxkg
t n c m j s	tncmjs
q j t v n s r k z f l	qjtvnsrkzfl
q p c g d m	qpcgdm
v q t s m w	vqtsmw
z j d q g	zjdqg
x d p q k j t z	xdpqkjtz
k b j c h	kbjch
b h j t	bhjt
g f r v t c k	gfrvtck
x n g z w l s m h k	xngzwlsmhk
f k q h m	fkqhm
p t m g c r	ptmgcr
s t h	sth
b w k l	bwkl
r w x q k	rwxqk
l n h k p f j	lnhkpfj
g w s f x l t b j	gwsfxltbj
c l g j k	clgjk
f w p	fwp
s m g k	smgk
g z v s x	gzvsx
f k q g p n	fkqgpn
v d r	vdr
r g l x h f t b v d	rglxhftbvd
q j h v	qjhv
s t n w b r h	stnwbrh
n s f v r	nsfvr
z s j q p h f d m k	zsjqphfdmk
q k r z f t c p	qkrzftcp
r g x n p b	rgxnpb
w z l q h m k b x	wzlqhmkbx
q k g v	qkgv
r q x p	rqxp
t g f c q j p z	tgfcqjpz
p c l n v k m	pclnvkm
r f x v j	rfxvj
d x s h	dxsh
t x z w c	txzwc
j f k	jfk
c v j	cvj
d j q m	djqm
q x c s f	qxcsf
t f z h m n	tfzhmn
p l s q h d	plsqhd
r b t p w	rbtpw
d n j g s	dnjgs
x q j k g m c d	xqjkgmcd
t p k q b r	tpkqbr
x m w g n	xmwgn
f h t j m x w q	fhtjmxwq
s r q h d g	srqhdg
h l n k p j	hlnkpj
z x k g c	zxkgc
d t f w x	dtfwx
g v x t w	gvxtw
q v t	qvt
c d g	cdg
b t f d p	btfdp
n b g x	nbgx
p q f j r w	pqfjrw
c r p m	crpm
p r f s h	prfsh
q f d k w	qfdkw
v j w f p	vjwfp
l n c x t v z	lncxtvz
m b d q z l c w	mbdqzlcw
b h g j r x z	bhgjrxz
x h t	xht
m c h w d	mchwd
f d z b g q	fdzbgq
m f k n s l t	mfknslt
z n l j f	znljf
c h z m x q p r	chzmxqpr
c h d w m	chdwm
f z n s w x q r g h j t	fznswxqrghjt
m r c	mrc
p d z j n	pdzjn
r k b v h	rkbvh
t r z c	trzc
c j h b d	cjhbd
r v n j d l	rvnjdl
h k c g w	hkcgw
z b m q l j g h w	zbmqljghw
r d g m	rdgm
s v q	svq
s k m w t	skmwt
g s p d v r h c	gspdvrhc
d g n p h r	dgnphr
k n s l m c g b p r	knslmcgbpr
j n v w d b g	jnvwdbg
n v q	nvq
w p z n v t	wpznvt
r n p c z d g j	rnpczdgj
s j b x w	sjbxw
d b q c	dbqc
v s f c l	vsfcl
j c d k p b g s q v	jcdkpbgsqv
h n m l	hnml
c v z f k	cvzfk
v n x m w d k	vnxmwdk
t b h s l w	tbhslw
n j h z g v l	njhzgvl
p l x s r d q	plxsrdq
n l d x k	nldxk
q c v s z d r t k	qcvszdrtk
f s x z g p l j v	fsxzgpljv
s f v h c t	sfvhct
f q r p	fqrp
k q s z l r t f	kqszlrtf
f w r k b t	fwrkbt
x m w	xmw
n j s q w p v c	njsqwpvc
n r k	nrk
r d x m q v z	rdxmqvz
g q c f	gqcf
v z q t	vzqt
t q l c r p v	tqlcrpv
b g f	bgf
k v q t b f x l n	kvqtbfxln
j r w f t m g	jrwftmg
m r l b j g d	mrlbjgd
t c z	tcz
l t s b p d w	ltsbpdw
t j c z r h p	tjczrhp
k f c v g p	kfcvgp
x z s p n k r b d	xzspnkrbd
t d x c b s	tdxcbs
w j m	wjm
g l m z h v t b	glmzhvtb
h x b r	hxbr
r f d p z	rfdpz
c v j w d	cvjwd
g v p w	gvpw
c q p w h	cqpwh
g t s c	gtsc
x d n c f s q	xdncfsq
c w t k	cwtk
p b m z v j l q	pbmzvjlq
z b t m n	zbtmn
w k d v g x q r b	wkdvgxqrb
p l d z s w q r m h	pldzswqrmh
v w m r z t j	vwmrztj
m v c d	mvcd
z r g n p l	zrgnpl
j f c h q k z m p s r v n	jfchqkzmpsrvn
b k j l r h t q g	bkjlrhtqg
m f n q k s	mfnqks
s b g l d	sbgld
v z s k l m b	vzsklmb
h x q t s m	hxqtsm
r q h	rqh
r l b f k n	rlbfkn
f n x r c w d	fnxrcwd
v w x g	vwxg
s p t	spt
v p z w q	vpzwq
p g z x t l w	pgzxtlw
q h b r	qhbr
n h b j c k s r	nhbjcksr
b j v q f t n p x	bjvqftnpx
b c s z	bcsz
c t r f k g z	ctrfkgz
b n z d g m h	bnzdgmh
n c x m v f l r t q p	ncxmvflrtqp
l w s x	lwsx
h v q m l z	hvqmlz
f q z w m x l n	fqzwmxln
x f g n w	xfgnw
c k h	ckh
t b c w z h s	tbcwzhs
c s g k r	csgkr
h s b k p w z	hsbkpwz
n h l q r	nhlqr
c v j m s x	cvjmsx
h p f r j	hpfrj
f b q g j n t c	fbqgjntc
v b z k t w q	vbzktwq
d c t g	dctg
k m f	kmf
n h c f l j	nhcflj
k z m	kzm
z x m w p c n k h f	zxmwpcnkhf
b v q k d r	bvqkdr
v q d s m	vqdsm
q f l b	qflb
n g s	ngs
l j c	ljc
r w k z p f g	rwkzpfg
l j d h m g s	ljdhmgs
g s q b t h m	gsqbthm
h b k p v c w q t	hbkpvcwqt
n h m b w	nhmbw
b w t d g p r j	bwtdgprj
n w p q c	nwpqc
v g c x s	vgcxs
t k x c	tkxc
x c v f m h k	xcvfmhk
p c f l k r h	pcflkrh
s f q	sfq
g r x f k z j s c n t	grxfkzjscnt
g j h n	gjhn
f q p z	fqpz
g q c t k w	gqctkw
b c h z f w l g	bchzfwlg
d l g b p h f w	dlgbphfw
b p f z	bpfz
s v x n j g p r	svxnjgpr
l r b c s t q	lrbcstq
h d c	hdc
q m b h	qmbh
s w t h n d g	swthndg
d h f q	dhfq
n b z q v w j d m	nbzqvwjdm
b q p d n m	bqpdnm
c x z s p v	cxzspv
k h m	khm
q p b z r n	qpbzrn
c s x j f v	csxjfv
v g d w b q	vgdwbq
r x t h l q	rxthlq
h p j v d t x n r	hpjvdtxnr
w b g r n z s p k q	wbgrnzspkq
g f r w q v k h m n s	gfrwqvkhmns
w d s c z g l	wdsczgl
j m s g b r z t	jmsgbrzt
z f c m l p j w	zfcmlpjw
t g m l v	tgmlv
s d l g c	sdlgc
v g k	vgk
n x s q r	nxsqr
m d b n j k q x h	mdbnjkqxh
p r s b t z	prsbtz
r f n q z	rfnqz
l d w	ldw
d p j x	dpjx
x h n d c r m j t	xhndcrmjt
s d l z q	sdlzq
w z c j f	wzcjf
d l w m n	dlwmn
c w d b p t f h	cwdbptfh
r j l p v t b	rjlpvtb
l g b h c n f p d w z q	lgbhcnfpdwzq
b z n q c m	bznqcm
p t l	ptl
w f v c z m x g	wfvczmxg
w q m h	wqmh
z r l k j	zrlkj
g k w v j n r l	gkwvjnrl
m f q c	mfqc
n d b	ndb
f q k c p x d	fqkcpxd
r q l k	rqlk
g h t p l w f	ghtplwf
x t g b f r p	xtgbfrp
t v r n l	tvrnl
t f r n g	tfrng
b j x g k	bjxgk
w f m t c v g	wfmtcvg
d m l p f	dmlpf
t g k n s h	tgknsh
f k p r c s w l q x h j	fkprcswlqxhj
n j m	njm
x j s v g	xjsvg
r p t b	rptb
f q h r	fqhr
k q s h w v j	kqshwvj
b n v q	bnvq
n l p s h z k	nlpshzk
s f w j	sfwj
n f p z	nfpz
m d l w p	mdlwp
k r j m	krjm
c f x q n	cfxqn
r v k j p w	rvkjpw
q c b x d k s	qcbxdks
f k b j z r	fkbjzr
m f v	mfv
k v n b s f d z g q	kvnbsfdzgq
k b j x	kbjx
t s h q	tshq
l f h t	lfht
b t h d z	bthdz
b j r m k h v	bjrmkhv
w g d z	wgdz
x m n w d t p l	xmnwdtpl
b d p q s m	bdpqsm
q l m n g w b	qlmngwb
r j s x	rjsx
p b n d s j q x	pbndsjqx
w g c h	wgch
d c z x	dczx
x l s r z b f	xlsrzbf
j v t n r x	jvtnrx
m b v k	mbvk
l j q g	ljqg
j f q	jfq
f l m s p j b h	flmspjbh
z k b x g s	zkbxgs
z n m x w k t v	znmxwktv
l h j w t v	lhjwtv
n f b t k	nfbtk
h z f n b r l x g	hzfnbrlxg
b d f z m t	bdfzmt
g x d m k q r	gxdmkqr
h f k d v r	hfkdvr
j t k n x	jtknx
g w h v n c d x	gwhvncdx
x n f b	xnfb
s q w h t p	sqwhtp
r t j c	rtjc
m h x t	mhxt
v f s c l w	vfsclw
t r b x l g m c s q	trbxlgmcsq
v l m k n	vlmkn
b t z s r p d	btzsrpd
h c r n t	hcrnt
v d h c j	vdhcj
r j f	rjf
l w h x z c d b p j	lwhxzcdbpj
t g c h f r w k x z	tgchfrwkxz
l t f q z	ltfqz
d t p k n w	dtpknw
s b v x	sbvx
t b j l m	tbjlm
h k d w b m t f r l p	hkdwbmtfrlp
j d m b q w r f	jdmbqwrf
x v m z p s	xvmzps
h t c l r b q v m	htclrbqvm
t j w d l p m b v s	tjwdlpmbvs
z b c d l w t s	zbcdlwts
x q s z k t	xqszkt
c p w d r q z m n	cpwdrqzmn
d j z r k c l n	djzrkcln
r z s p g	rzspg
r x t q g p	rxtqgp
k c q	kcq
k f b x	kfbx
z c r t h q j s g	zcrthqjsg
p r f b q v z w s c j l	prfbqvzwscjl
r z t x	rztx
q p g m c n j h k b	qpgmcnjhkb
x j d r q	xjdrq
d h p f	dhpf
l w n g p d v	lwngpdv
z j w v k n	zjwvkn
p w x l n s h	pwxlnsh
b f k h c n p	bfkhcnp
w j q t d	wjqtd
h b v r j q n d m s	hbvrjqndms
t g r d n v x m	tgrdnvxm
j d z w	jdzw
q t m g	qtmg
q w v r m n	qwvrmn
q d w p r z m	qdwprzm
q n v t w	qnvtw
z j h g c x w m	zjhgcxwm
l p g k n	lpgkn
p f n t	pfnt
c q g n x s z f	cqgnxszf
x z c l f s	xzclfs
t x n m c d q	txnmcdq
x r f p t	xrfpt
b m k t	bmkt
f m x l d	fmxld
b p v z	bpvz
x j f p k b l n q t c	xjfpkblnqtc
q l d z w p c	qldzwpc
d r b k w t	drbkwt
f z m g k	fzmgk
b m w q	bmwq
l s z r g h v n	lszrghvn
f p g b s l r	fpgbslr
q t j c	qtjc
g w p z k d	gwpzkd
k t p g	ktpg
k f r b t	kfrbt
k j v g l n	kjvgln
f t p z l v c m h	ftpzlvcmh
z n f j x	znfjx
x s f w v	xsfwv
q b j z	qbjz
j q l m h	jqlmh
v m x j p z f h n	vmxjpzfhn
f b c n z j	fbcnzj
h g v t m f	hgvtmf
h c g w r m	hcgwrm
t w c q v l x f	twcqvlxf
z r t d n j p f g	zrtdnjpfg
j n b d r p	jnbdrp
l p d m z k g n	lpdmzkgn
n h b d w l g q	nhbdwlgq
l b z m r x w h	lbzmrxwh
f d k z l m	fdkzlm
x z p t f l s h m	xzptflshm
m j x v	mjxv
z t w g l x h	ztwglxh
v s j q	vsjq
w h s j k p	whsjkp
f q p v m x n w	fqpvmxnw
g m l w q	gmlwq
v x q l n	vxqln
w x v h p	wxvhp
b m j s n p t	bmjsnpt
k j b n x	kjbnx
k p t n	kptn
w b x g f q h v l	wbxgfqhvl
j p m c	jpmc
b g p h	bgph
j t k r w	jtkrw
s x v h f z b l	sxvhfzbl
k t x d w g	ktxdwg
g d c l p z m	gdclpzm
p w l t v b n	pwltvbn
x d s l q n t f	xdslqntf
c b p q n h w j f	cbpqnhwjf
s t q	stq
z g j	zgj
q d x h t z	qdxhtz
k d w h c x s b z	kdwhcxsbz
k w r s b d v j	kwrsbdvj
k j t w l g p x z	kjtwlgpxz
c g f k m t v	cgfkmtv
m w b t	mwbt
j l b t	jlbt
s x c f h w d j m q g z p	sxcfhwdjmqgzp
k c x p g q n	kcxpgqn
m x l z j	mxlzj
d x r t h w	dxrthw
z n t k b c s	zntkbcs
m f x q c	mfxqc
b p g t r	bpgtr
r t k d s	rtkds
p f z h s	pfzhs
f h q w c	fhqwc
p m l r	pmlr
p t n q s b	ptnqsb
x h m b g t	xhmbgt
l j h k p s t v d f q w	ljhkpstvdfqw
g t l k r v	gtlkrv
n w q l g z m	nwqlgzm
g h n d	ghnd
l p x d	lpxd
c f r p j k	cfrpjk
t w k r q	twkrq
s b g l w p	sbglwp
w t b g	wtbg
k j l v x f	kjlvxf
t c x h j d l f	tcxhjdlf
w z p d q n v r	wzpdqnvr
n l g z	nlgz
v w f r s b j c	vwfrsbjc
j x l f	jxlf
r h g n	rhgn
n f d s p v x	nfdspvx
v g z w m s	vgzwms
q d k h s	qdkhs
p b c s	pbcs
x b h g v z w k d s	xbhgvzwkds
t n m x p h w	tnmxphw
x d v	xdv
s v n h r	svnhr
v s n g p j c h b x	vsngpjchbx
s t g q n b l	stgqnbl
c d m h v q s x	cdmhvqsx
p r n z	prnz
l z x j p w b	lzxjpwb
s l w v g x	slwvgx
t d c v	tdcv
z l s d t	zlsdt
q h c g j b f t	qhcgjbft
d l h v	dlhv
b q s l k h d z	bqslkhdz
j w t d v q x	jwtdvqx
f m q s r v c b t w z h n x	fmqsrvcbtwzhnx
k n z	knz
j c x r s l q g w	jcxrslqgw
k t z q f	ktzqf
r w f c l	rwfcl
p m d t b f	pmdtbf
d l x	dlx
d j b f s	djbfs
n t h l f g	nthlfg
j t x f q m l c	jtxfqmlc
r t z l s	rtzls
p n r t	pnrt
d q v b j f l g c	dqvbjflgc
m s c z j	msczj
m s n k w d b c f j	msnkwdbcfj
x z g h f k j v	xzghfkjv
r b x d p w	rbxdpw
f b w p r z s c	fbwprzsc
w z m n g x	wzmngx
g s w z c f	gswzcf
l b w s f	lbwsf
z m l r q s c	zmlrqsc
h p b n	hpbn
p c h q m s g t	pchqmsgt
r b f d q z c	rbfdqzc
b g f n r k d l v	bgfnrkdlv
h m j d z x l f p	hmjdzxlfp
g z x r k d q	gzxrkdq
